Player,Rating,ACS,Kills,Deaths,Assists,+/-,KAST,ADR,HS%,FK,FD,FK-Diff,Rounds
jawgemo,1.15,230,64,51,11,+13,59%,142,26%,11,17,-6,71
trent,1.04,200,46,49,30,-3,76%,138,18%,4,3,+1,71
valyn,0.95,178,44,50,31,-6,82%,114,23%,5,9,-4,71
JonahP,0.92,156,35,47,39,-12,79%,101,22%,7,4,+3,71
Verno,1.14,225,54,44,23,+10,77%,143,23%,6,3,+3,71
aspas,1.03,223,57,49,7,+8,76%,141,26%,13,12,+1,71
cortezia,1.01,207,54,51,14,+3,69%,130,42%,5,7,-2,71
xenom,0.94,163,43,46,27,-3,75%,100,31%,2,1,+1,71
artzin,0.73,174,38,57,28,-19,69%,118,18%,12,10,+2,71
pANcada,1.32,243,43,34,18,+9,76%,156,32%,4,2,+2,50
dgzin,1.30,281,51,36,9,+15,70%,169,28%,16,7,+9,50
cauanzin,0.90,192,31,39,16,-8,68%,130,19%,3,8,-5,50
tuyz,0.79,130,25,32,7,-7,62%,101,32%,0,2,-2,50
v1nny,0.63,122,20,39,29,-19,74%,83,24%,0,8,-8,50
gobera,1.16,221,38,32,13,+6,82%,149,27%,3,1,+2,50
Askia,1.03,220,38,33,10,+5,68%,142,37%,11,9,+2,50
lz,1.01,210,40,35,15,+5,82%,131,40%,4,4,0,50
silentzz,0.97,202,34,34,12,0,78%,139,43%,5,4,+1,50
PxS,0.92,174,30,36,21,-6,72%,117,32%,4,5,-1,50
Demon1,0.96,193,24,30,11,-6,59%,129,49%,5,2,+3,37
kiNgg,0.89,194,24,30,5,-6,57%,137,36%,5,8,-3,37
Rossy,0.76,162,23,31,6,-8,57%,122,36%,0,5,-5,37
tex,0.65,142,17,30,7,-13,57%,103,43%,4,7,-3,37
C0M,0.63,129,17,31,8,-14,65%,91,20%,0,1,-1,37
v1c,1.47,290,38,19,26,+19,89%,166,29%,4,3,+1,37
Xeppaa,1.43,245,33,17,9,+16,89%,157,23%,2,3,-1,37
OXY,1.27,251,35,22,6,+13,78%,148,31%,10,4,+6,37
neT,1.03,179,25,21,6,+4,81%,122,35%,3,1,+2,37
mitch,0.87,169,21,26,17,-5,81%,109,17%,4,3,+1,37
supamen,0.84,168,22,28,8,-6,56%,108,42%,0,5,-5,36
icy,0.76,147,21,27,1,-6,61%,85,40%,4,3,+1,36
